,code,name
621,002318,久立特材
622,002594,比亚迪
623,002213,特 尔 佳
624,601390,中国中铁
625,002278,神开股份
626,300498,温氏股份
627,002840,华统股份
628,603662,柯力传感
629,300376,易事特
630,002108,沧州明珠
631,600958,东方证券
632,002059,云南旅游
633,002933,新兴装备
634,600020,中原高速
635,600167,联美控股
636,002110,三钢闽光
637,603313,梦百合
638,600084,*ST中葡
639,002224,三 力 士
640,600458,时代新材
641,300567,精测电子
642,600170,上海建工
643,002839,张家港行
644,300684,中石科技
645,601211,国泰君安
646,300246,宝莱特
647,601336,新华保险
648,002549,凯美特气
649,600603,广汇物流
650,600425,青松建化
651,603300,华铁应急
652,603326,我乐家居
653,000776,广发证券
654,600193,ST创兴
655,603866,桃李面包
656,300326,凯利泰
657,000419,通程控股
658,600016,民生银行
659,600376,首开股份
660,300542,新晨科技
661,000517,荣安地产
662,603879,永悦科技
663,600027,华电国际
664,600150,中国船舶
665,000401,冀东水泥
666,000069,华侨城Ａ
667,002627,宜昌交运
668,000652,泰达股份
669,002937,兴瑞科技
670,600695,绿庭投资
671,002859,洁美科技
672,603315,福鞍股份
673,603788,宁波高发
674,600971,恒源煤电
675,601311,骆驼股份
676,300660,江苏雷利
677,300631,久吾高科
678,000811,冰轮环境
679,300608,思特奇
680,000960,锡业股份
681,002253,川大智胜
682,300761,立华股份
683,300242,佳云科技
684,300097,智云股份
685,002135,东南网架
686,600867,通化东宝
687,300777,中简科技
688,600908,无锡银行
689,300533,冰川网络
690,000611,*ST天首
691,600496,精工钢构
692,300169,天晟新材
693,600179,ST安通
694,600660,福耀玻璃
695,600718,东软集团
696,603868,飞科电器
697,600307,酒钢宏兴
698,600206,有研新材
699,300213,佳讯飞鸿
700,300399,京天利
701,300475,聚隆科技
702,000711,京蓝科技
703,300426,唐德影视
704,600064,南京高科
705,000638,万方发展
706,002404,嘉欣丝绸
707,300059,东方财富
708,600976,健民集团
709,600015,华夏银行
710,002916,深南电路
711,600151,航天机电
712,002230,科大讯飞
713,300124,汇川技术
714,603688,石英股份
715,002931,锋龙股份
716,600536,中国软件
717,600026,中远海能
718,300571,平治信息
719,600785,新华百货
720,603939,益丰药房
721,600683,京投发展
722,002236,大华股份
723,002926,华西证券
724,603079,圣达生物
725,300788,中信出版
726,002458,益生股份
727,601375,中原证券
728,002827,高争民爆
729,600639,浦东金桥
730,002522,浙江众成
731,300737,科顺股份
732,600326,西藏天路
733,300106,西部牧业
734,002833,弘亚数控
735,002117,东港股份
736,000007,全新好
737,002673,西部证券
738,300609,汇纳科技
739,002160,常铝股份
740,300385,雪浪环境
741,002311,海大集团
742,603886,元祖股份
743,002276,万马股份
744,002011,盾安环境
745,603477,振静股份
746,002081,金 螳 螂
747,600739,辽宁成大
748,002293,罗莱生活
749,002918,蒙娜丽莎
750,000005,世纪星源
751,300209,天泽信息
752,300249,依米康
753,601038,一拖股份
754,600097,开创国际
755,600056,中国医药
756,000555,神州信息
757,603929,亚翔集成
758,000559,万向钱潮
759,000043,中航善达
760,600123,兰花科创
761,000883,湖北能源
762,002397,梦洁股份
763,603338,浙江鼎力
764,601137,博威合金
765,002678,珠江钢琴
766,002444,巨星科技
767,000729,燕京啤酒
768,000932,华菱钢铁
769,300477,合纵科技
770,603567,珍宝岛
771,002241,歌尔股份
772,002938,鹏鼎控股
773,000612,焦作万方
774,002312,三泰控股
775,000016,深康佳Ａ
776,601998,中信银行
777,300480,光力科技
778,300701,森霸传感
779,600717,天津港
780,600219,南山铝业
781,002102,ST冠福
782,002440,闰土股份
783,601098,中南传媒
784,603363,傲农生物
785,002217,合力泰
786,002675,东诚药业
787,603730,岱美股份
788,000900,现代投资
789,600433,冠豪高新
790,601636,旗滨集团
791,300105,龙源技术
792,002222,福晶科技
793,603663,三祥新材
794,002677,浙江美大
795,300638,广和通
796,000626,远大控股
797,601952,苏垦农发
798,002091,江苏国泰
799,600161,天坛生物
800,002362,汉王科技
801,601918,新集能源
802,600039,四川路桥
803,600490,鹏欣资源
804,600177,雅戈尔
805,300581,晨曦航空
806,603855,华荣股份
807,000785,武汉中商
808,600885,宏发股份
809,002308,威创股份
810,002052,同洲电子
811,002016,世荣兆业
812,002294,信立泰
813,601198,东兴证券
814,601099,太平洋
815,603709,中源家居
816,600875,东方电气
817,300296,利亚德
818,002900,哈三联
819,000096,广聚能源
820,002837,英维克
821,000962,东方钽业
822,600301,ST南化
823,000722,湖南发展
824,603266,天龙股份
825,600889,南京化纤
826,603177,德创环保
827,002922,伊戈尔
828,600369,西南证券
829,002212,南洋股份
830,600606,绿地控股
831,002176,江特电机
832,002261,拓维信息
833,600035,楚天高速
834,000606,顺利办
835,002817,黄山胶囊
836,300531,优博讯
837,600856,ST中天
838,300212,易华录
839,002103,广博股份
840,603199,九华旅游
841,600292,远达环保
842,601600,中国铝业
843,300026,红日药业
